identifier_Id,lot_lotnum,lot_lotsize1,lot_lotsize2,lot_pooltype,area_blockNum,area_subdname,area_taxcodearea,address_line1,address_locality,address_postal2,address_postal3,location_accuracy,location_geoIdV4_CO,summary_proptype,summary_propertyType,summary_yearbuilt,summary_propIndicator,utilities_coolingtype,utilities_heatingtype,building_size_bldgsize,building_size_grosssize,building_size_grosssizeadjusted,building_size_livingsize,building_size_sizeInd,building_size_universalsize,building_rooms_bathsfull,building_rooms_bathstotal,building_interior_bsmtsize,building_interior_bsmttype,building_interior_fplcind,building_interior_fplctype,building_construction_constructiontype,building_construction_roofcover,building_construction_roofShape,building_construction_wallType,building_parking_garagetype,building_parking_prkgSize,building_parking_prkgSpaces,building_parking_prkgType,building_summary_archStyle,building_summary_bldgType,building_summary_imprType,building_summary_levels,building_summary_quality,building_summary_storyDesc,building_summary_viewCode,sale_amount_saletranstype,sale_amount_saleamt,sale_calculation_pricepersizeunit
180053,1,0.1721534,7499,NO POOL,4.0,PARK ESTATES,150,4009 CARLA DR,CHEYENNE,5548,C041,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1979,10,YES,FORCED AIR,1008,2496,1008,1008,LIVING SQFT,1008,2,2.0,1008.0,FINISHED,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE,WOOD,"Garage, Attached",480.0,2.0,"Garage, Attached",RANCH,CONVENTIONAL HOUSE,HOUSE,1,FAIR,CONVENTIONAL HOUSE,0,Resale,,
228520,,1.11,48510,NO POOL,,SHERIDAN COURT CONDOMINIUMS,150,4707 HICKORY PL,CHEYENNE,5122,C030,Rooftop,16856031afb1b236f0d628bb802eac71,CONDOMINIUM,CONDOMINIUM,1974,11,,HOT WATER,8184,33164,8184,8184,LIVING SQFT,8184,8,16.0,,,,,FRAME,COMPOSITION SHINGLE,GABLE,ALUMINUM/VINYL,,420.0,,,CONDO/APARTMENT,COMMERCIAL,COMMERCIAL,2,FAIR,COMMERCIAL,0,Resale,131906.0,16.12
239936,"17,18",0.8264463,36000,NO POOL,4.0,ALL AMERICA SUBDIVISION,117,252 E IDAHO ST,CHEYENNE,8902,H056,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1978,10,,FORCED AIR,1366,2378,1366,1366,LIVING SQFT,1366,2,2.0,1012.0,FINISHED,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE,WOOD,"Garage, Detached",528.0,2.0,"Garage, Detached",RANCH,CONVENTIONAL HOUSE,HOUSE,1,AVERAGE,CONVENTIONAL HOUSE,0,Resale,253521.0,185.59
240202,1,4.66,202990,,9.0,ALL AMERICA SUBDIVISION,117,9420 MICHIGAN ST,CHEYENNE,9613,R013,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,2001,10,YES,FORCED AIR,1830,4408,1830,1830,LIVING SQFT,1830,3,3.0,1810.0,FINISHED,,,FRAME,COMPOSITION SHINGLE,GABLE,BRICK/STONE (BRICK AND/OR STONE),Mixed,1168.0,5.0,Mixed,RANCH,CONVENTIONAL HOUSE,HOUSE,1,AVERAGE,CONVENTIONAL HOUSE,0,Resale,335985.0,183.6
263622,"14,15",0.2238292,9750,NO POOL,6.0,FRONTIER GARDENS,150,4717 MORAN AVE,CHEYENNE,5218,C036,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1965,10,,FORCED AIR,960,2232,960,960,LIVING SQFT,960,2,2.0,960.0,FINISHED,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE,ALUMINUM/VINYL,Mixed,888.0,3.0,Mixed,RANCH,CONVENTIONAL HOUSE,HOUSE,1,FAIR,CONVENTIONAL HOUSE,0,Resale,357688.0,372.59
268220,8,0.137741,6000,NO POOL,17.0,PARK PLAZA TECH CENTER,150,4701 ONTARIO AVE,CHEYENNE,5633,C041,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1983,10,,FORCED AIR,912,2224,912,912,LIVING SQFT,912,2,2.0,912.0,FINISHED,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE,ALUMINUM/VINYL,"Garage, Attached",400.0,2.0,"Garage, Attached",RANCH,CONVENTIONAL HOUSE,HOUSE,1,FAIR,CONVENTIONAL HOUSE,0,Resale,276760.0,303.46
273859,10,0.1636823,7130,NO POOL,4.0,MONTEREY HEIGHTS,150,6901 WILLSHIRE BLVD,CHEYENNE,2708,C050,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1963,10,,FORCED AIR,1498,2798,1498,1498,LIVING SQFT,1498,2,2.0,936.0,FINISHED,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE,BRICK/STONE (BRICK AND/OR STONE),"Garage, Attached",364.0,1.0,"Garage, Attached",,CONVENTIONAL HOUSE,HOUSE,2,FAIR,CONVENTIONAL HOUSE,0,Resale,146826.0,98.01
276339,11,0.170753,7438,NO POOL,6.0,FRONTIER GARDENS,150,4755 MORAN AVE,CHEYENNE,5218,C036,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1961,10,,FORCED AIR,957,2262,957,957,LIVING SQFT,957,1,1.0,957.0,FINISHED,,,FRAME,COMPOSITION SHINGLE,GABLE,ALUMINUM/VINYL,"Garage, Attached",348.0,1.0,"Garage, Attached",RANCH,CONVENTIONAL HOUSE,HOUSE,1,FAIR,CONVENTIONAL HOUSE,0,Resale,,
278288,4,0.2117769,9225,NO POOL,14.0,INDIAN HILLS,150,729 APACHE ST,CHEYENNE,4220,C045,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1958,10,YES,FORCED AIR,1152,2064,1152,1152,LIVING SQFT,1152,1,2.0,912.0,FINISHED,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE,ALUMINUM/VINYL,"Garage, Detached",576.0,2.0,"Garage, Detached",RANCH,CONVENTIONAL HOUSE,HOUSE,1,LOW,CONVENTIONAL HOUSE,0,Resale,264528.0,229.63
302952,,2.99,130244,NO POOL,,,117,7812 YELLOWSTONE RD,CHEYENNE,1618,H056,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1978,10,YES,FORCED AIR,1860,3310,1860,1860,LIVING SQFT,1860,2,3.0,800.0,FINISHED,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE,ALUMINUM/VINYL,"Garage, Attached",650.0,2.0,"Garage, Attached",,CONVENTIONAL HOUSE,HOUSE,2,AVERAGE,CONVENTIONAL HOUSE,0,REO (Real Estate-Owned),226000.0,121.51
